ID,Title,Description,Price,Sale_Price,Image,Availability,Brand,Category,URL
watch_14,ساعة اوميغا سواتش رصاصي,"ساعة اوميغا سواتش رصاصي - هدية فريدة من Emirates Gifts",375 AED,325 AED,https://m5zoon.com/public/uploads/products/1741221694642499.png,in stock,Watches,Watches,https://emirates-gifts.arabsad.com/products/watch_14
watch_15,ساعة سربنتي توبوغاس,"ساعة سربنتي توبوغاس - هدية فريدة من Emirates Gifts",470 AED,420 AED,https://m5zoon.com/public/uploads/products/1741220746882687.png,in stock,Watches,Watches,https://emirates-gifts.arabsad.com/products/watch_15
watch_16,ساعة نسائية ديور - مينا صغير SL0012,"ساعة نسائية ديور - مينا صغير SL0012 - هدية فريدة من Emirates Gifts",385 AED,335 AED,https://m5zoon.com/public/uploads/products/1741220693290036.png,in stock,Watches,Watches,https://emirates-gifts.arabsad.com/products/watch_16
watch_17,ساعة سربنتي توبوغاس gold,"ساعة سربنتي توبوغاس gold - هدية فريدة من Emirates Gifts",470 AED,420 AED,https://m5zoon.com/public/uploads/products/1741220582559375.png,in stock,Watches,Watches,https://emirates-gifts.arabsad.com/products/watch_17
watch_18,ساعة اوميغا سواتش بنى,"ساعة اوميغا سواتش بنى - هدية فريدة من Emirates Gifts",375 AED,325 AED,https://m5zoon.com/public/uploads/products/1731699670370340.webp,in stock,Watches,Watches,https://emirates-gifts.arabsad.com/products/watch_18
watch_19,بوكس الساعة والايربودز  6 في 1,"بوكس الساعة والايربودز  6 في 1 - هدية فريدة من Emirates Gifts",410 AED,360 AED,https://m5zoon.com/public/uploads/products/1693928071589621.webp,in stock,Watches,Watches,https://emirates-gifts.arabsad.com/products/watch_19
watch_20,ساعة Ultra مع ايربودز هدية,"ساعة Ultra مع ايربودز هدية - هدية فريدة من Emirates Gifts",352 AED,302 AED,https://m5zoon.com/public/uploads/products/1731698702725313.webp,in stock,Watches,Watches,https://emirates-gifts.arabsad.com/products/watch_20
watch_21,ساعة رولكس يخت ماستر - ذهبي,"ساعة رولكس يخت ماستر - ذهبي - هدية فريدة من Emirates Gifts",364 AED,314 AED,https://m5zoon.com/public/uploads/products/1731699218702214.webp,in stock,Watches,Watches,https://emirates-gifts.arabsad.com/products/watch_21
watch_22,ساعة ذكية مزودة بكاميرا,"ساعة ذكية مزودة بكاميرا - هدية فريدة من Emirates Gifts",356 AED,306 AED,https://m5zoon.com/public/uploads/products/1731362264876264.webp,in stock,Watches,Watches,https://emirates-gifts.arabsad.com/products/watch_22
watch_23,ساعة rolex باللون الازرق,"ساعة rolex باللون الازرق - هدية فريدة من Emirates Gifts",364 AED,314 AED,https://m5zoon.com/public/uploads/products/1731361953514688.webp,in stock,Watches,Watches,https://emirates-gifts.arabsad.com/products/watch_23
watch_24,ساعة فورسينغ  كلاسيكي فضي,"ساعة فورسينغ  كلاسيكي فضي - هدية فريدة من Emirates Gifts",421 AED,371 AED,https://m5zoon.com/public/uploads/products/1731361789334824.webp,in stock,Watches,Watches,https://emirates-gifts.arabsad.com/products/watch_24
watch_25,ساعة فورسينغ كلاسيكي ذهبي,"ساعة فورسينغ كلاسيكي ذهبي - هدية فريدة من Emirates Gifts",421 AED,371 AED,https://m5zoon.com/public/uploads/products/1731361642576895.webp,in stock,Watches,Watches,https://emirates-gifts.arabsad.com/products/watch_25
watch_26,ساعة اوميغا سواتش أحمر,"ساعة اوميغا سواتش أحمر - هدية فريدة من Emirates Gifts",375 AED,325 AED,https://m5zoon.com/public/uploads/products/1731361206322275.webp,in stock,Watches,Watches,https://emirates-gifts.arabsad.com/products/watch_26
watch_27,ساعة ذكية A58 plus,"ساعة ذكية A58 plus - هدية فريدة من Emirates Gifts",360 AED,310 AED,https://m5zoon.com/public/uploads/products/1741220160853406.png,in stock,Watches,Watches,https://emirates-gifts.arabsad.com/products/watch_27
watch_28,ساعة Rolex باللون الأخضر الملكي + البوكس الأصلي,"ساعة Rolex باللون الأخضر الملكي + البوكس الأصلي - هدية فريدة من Emirates Gifts",390 AED,340 AED,https://m5zoon.com/public/uploads/products/1737384308361283.webp,in stock,Watches,Watches,https://emirates-gifts.arabsad.com/products/watch_28
watch_29,ساعة Rolex كلاسيكية 41 ملم 2022 + البوكس الأصلي,"ساعة Rolex كلاسيكية 41 ملم 2022 + البوكس الأصلي - هدية فريدة من Emirates Gifts",405 AED,355 AED,https://m5zoon.com/public/uploads/products/1737396086718850.webp,in stock,Watches,Watches,https://emirates-gifts.arabsad.com/products/watch_29
watch_30,ساعة رولكس يخت ماستر ذهبي + البوكس الأصلي,"ساعة رولكس يخت ماستر ذهبي + البوكس الأصلي - هدية فريدة من Emirates Gifts",394 AED,344 AED,https://m5zoon.com/public/uploads/products/1737397213723650.webp,in stock,Watches,Watches,https://emirates-gifts.arabsad.com/products/watch_30
watch_31,ساعة رولكس يخت ماستر اسود - كوبي 1,"ساعة رولكس يخت ماستر اسود - كوبي 1 - هدية فريدة من Emirates Gifts",590 AED,540 AED,https://m5zoon.com/public/uploads/products/1741220095315902.png,in stock,Watches,Watches,https://emirates-gifts.arabsad.com/products/watch_31
